State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Chenopodium desertorum (J.M.Black) J.M.Black subsp. desertorum,Chenopodium desertorum subsp. desertorum,native,Chenopodium desertorum (J.M.Black) J.M.Black subsp. desertorum,Chenopodium desertorum subsp. desertorum,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium desertorum subsp. microphyllum Paul G.Wilson,Chenopodium desertorum subsp. microphyllum,native,Chenopodium desertorum subsp. microphyllum Paul G.Wilson,Chenopodium desertorum subsp. microphyllum,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium erosum R.Br.,Chenopodium erosum,native,Chenopodium erosum R.Br.,Chenopodium erosum,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium hubbardii Aellen,Chenopodium hubbardii,native,Chenopodium hubbardii Aellen,Chenopodium hubbardii,native,Aellen,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium murale L.,Chenopodium murale,naturalised,Chenopodium murale L.,Chenopodium murale,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chenopodium nitrariaceum (F.Muell.) F.Muell. ex Benth.,Chenopodium nitrariaceum,native,Chenopodium nitrariaceum (F.Muell.) F.Muell. ex Benth.,Chenopodium nitrariaceum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis diphylla R.Br.,Chiloglottis diphylla,native,Chiloglottis diphylla R.Br.,Chiloglottis diphylla,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis longiclavata D.L.Jones,Chiloglottis longiclavata,native,Chiloglottis longiclavata D.L.Jones,Chiloglottis longiclavata,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis sphyrnoides D.L.Jones,Chiloglottis sphyrnoides,native,Chiloglottis sphyrnoides D.L.Jones,Chiloglottis sphyrnoides,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis sylvestris D.L.Jones & M.A.Clem.,Chiloglottis sylvestris,native,Chiloglottis sylvestris D.L.Jones & M.A.Clem.,Chiloglottis sylvestris,native,D.L.Jones & M.A.Clem.,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis trullata D.L.Jones,Chiloglottis trullata,native,Chiloglottis trullata D.L.Jones,Chiloglottis trullata,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis truncata D.L.Jones & M.A.Clem.,Chiloglottis truncata,native,Chiloglottis truncata D.L.Jones & M.A.Clem.,Chiloglottis truncata,native,D.L.Jones & M.A.Clem.,accepted,Similar for the state flora and the APC,native,native,native
Chiloschista phyllorhiza (F.Muell.) Schltr.,Chiloschista phyllorhiza,native,Chiloschista phyllorhiza (F.Muell.) Schltr.,Chiloschista phyllorhiza,native,(F.Muell.) Schltr.,accepted,Similar for the state flora and the APC,native,native,native
Chingia australis Holttum,Chingia australis,native,Chingia australis Holttum,Chingia australis,native,Holttum,accepted,Similar for the state flora and the APC,native,native,native
Chionachne cyathopoda (F.Muell.) F.Muell. ex Benth.,Chionachne cyathopoda,native,Chionachne cyathopoda (F.Muell.) F.Muell. ex Benth.,Chionachne cyathopoda,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Chionachne gigantea (J.Koenig) Veldkamp,Chionachne gigantea,formerly naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,formerly naturalised,introduced,not enough information to assign degree of establishment
Chionachne hubbardiana Henrard,Chionachne hubbardiana,native,Chionachne hubbardiana Henrard,Chionachne hubbardiana,native,Henrard,accepted,Similar for the state flora and the APC,native,native,native
Chionanthus acuminiger F.Muell.,Chionanthus acuminiger,native,Chionanthus acuminiger F.Muell.,Chionanthus acuminiger,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Chionanthus axillaris R.Br.,Chionanthus axillaris,native,Chionanthus axillaris R.Br.,Chionanthus axillaris,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chionanthus ramiflorus Roxb.,Chionanthus ramiflorus,native colonising,Chionanthus ramiflorus Roxb.,Chionanthus ramiflorus,native,Roxb.,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Chionanthus sleumeri (C.T.White) Stearn,Chionanthus sleumeri,native,Chionanthus sleumeri (C.T.White) Stearn,Chionanthus sleumeri,native,(C.T.White) Stearn,accepted,Similar for the state flora and the APC,native,native,native
Chisocheton longistipitatus (F.M.Bailey) L.S.Sm.,Chisocheton longistipitatus,native,Chisocheton longistipitatus (F.M.Bailey) L.S.Sm.,Chisocheton longistipitatus,native,(F.M.Bailey) L.S.Sm.,accepted,Similar for the state flora and the APC,native,native,native
Chloanthes parviflora Walp.,Chloanthes parviflora,native,Chloanthes parviflora Walp.,Chloanthes parviflora,native,Walp.,accepted,Similar for the state flora and the APC,native,native,native
Chloris ciliata Sw.,Chloris ciliata,formerly naturalised,Chloris ciliata Sw.,Chloris ciliata,doubtfully naturalised,Sw.,accepted,"According to the state flora is formerly naturalised, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Chloris circumfontinalis Fahey & Fensham,Chloris circumfontinalis,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Chloris divaricata R.Br.,Chloris divaricata,native,Chloris divaricata R.Br.,Chloris divaricata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chloris divaricata var. cynodontoides (Balansa) Lazarides,Chloris divaricata var. cynodontoides,native,Chloris divaricata var. cynodontoides (Balansa) Lazarides,Chloris divaricata var. cynodontoides,native,(Balansa) Lazarides,accepted,Similar for the state flora and the APC,native,native,native
Chloris divaricata R.Br. var. divaricata,Chloris divaricata var. divaricata,native,Chloris divaricata R.Br. var. divaricata,Chloris divaricata var. divaricata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Chloris gayana Kunth,Chloris gayana,naturalised,Chloris gayana Kunth,Chloris gayana,naturalised,Kunth,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chloris inflata Link,Chloris inflata,naturalised,Chloris barbata Sw.,Chloris barbata,naturalised,Sw.,taxonomic synonym,Similar for the state flora and the APC,naturalised,introduced,established
Chloris lobata Lazarides,Chloris lobata,native,Chloris lobata Lazarides,Chloris lobata,native,Lazarides,accepted,Similar for the state flora and the APC,native,native,native
Chloris pectinata Benth.,Chloris pectinata,native,Chloris pectinata Benth.,Chloris pectinata,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Chloris pumilio R.Br.,Chloris pumilio,native,Chloris pumilio R.Br.,Chloris pumilio,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chloris truncata R.Br.,Chloris truncata,native,Chloris truncata R.Br.,Chloris truncata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chloris ventricosa R.Br.,Chloris ventricosa,native,Chloris ventricosa R.Br.,Chloris ventricosa,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chloris virgata Sw.,Chloris virgata,naturalised,Chloris virgata Sw.,Chloris virgata,naturalised,Sw.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chlorophytum comosum (Thunb.) Jacques,Chlorophytum comosum,naturalised,Chlorophytum comosum (Thunb.) Jacques,Chlorophytum comosum,naturalised,(Thunb.) Jacques,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chlorophytum laxum R.Br.,Chlorophytum laxum,native,Chlorophytum laxum R.Br.,Chlorophytum laxum,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chondrilla juncea L.,Chondrilla juncea,naturalised,Chondrilla juncea L.,Chondrilla juncea,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chonemorpha fragrans (Moon) Alston,Chonemorpha fragrans,doubtfully naturalised,Chonemorpha fragrans (Moon) Alston,Chonemorpha fragrans,doubtfully naturalised,(Moon) Alston,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
