State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Rhodobryum aubertii (Schw�gr.) Th�r.,Rhodobryum aubertii,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhynchospora brownii Roem. & Schult.,Rhynchospora brownii,native,Rhynchospora brownii Roem. & Schult.,Rhynchospora brownii,native,Roem. & Schult.,accepted,Similar for the state flora and the APC,native,native,native
Rhynchostegium distratum (Hampe) A.Jaeger,Rhynchostegium distratum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhynchostegium laxatum (Mitt.) Paris,Rhynchostegium laxatum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhynchostegium muriculatum (Hook.f. & Wilson) Reichardt,Rhynchostegium muriculatum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhynchostegium tenuifolium (Hedw.) Reichardt,Rhynchostegium tenuifolium,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
"Rhytidosporum inconspicuum L.Cayzer, Crisp & I.Telford",Rhytidosporum inconspicuum,native,"Rhytidosporum inconspicuum L.Cayzer, Crisp & I.Telford",Rhytidosporum inconspicuum,native,"L.Cayzer, Crisp & I.Telford",accepted,Similar for the state flora and the APC,native,native,native
Rhytidosporum sp. aff. procumbens NA,Rhytidosporum sp. aff. procumbens,naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,naturalised,introduced,established
Ribes uva-crispa L.,Ribes uva-crispa,naturalised,Ribes uva-crispa L.,Ribes uva-crispa,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Riccardia aequicellularis (Steph.) Hewson,Riccardia aequicellularis,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia alcicornis (Hook.f. & Taylor) Trevis.,Riccardia alcicornis,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia bipinnatifida (Colenso) Hewson,Riccardia bipinnatifida,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia cochleata (Hook.f. & Taylor) Kuntze,Riccardia cochleata,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia colensoi (Steph.) W.Martin,Riccardia colensoi,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia crassa (Schw�gr.) C.Massal.,Riccardia crassa,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia eriocaula (Hook.) C.Massal.,Riccardia eriocaula,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia graeffei (Steph.) Hewson,Riccardia graeffei,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Riccardia lobulata (Colenso) E.A.Hodgs.,Riccardia lobulata,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
