State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Desmodium filiforme Zoll. & Moritzi,Desmodium filiforme,native,Grona filiformis (Zoll. & Moritzi) H.Ohashi & K.Ohashi,Grona filiformis,native,(Zoll. & Moritzi) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium flagellare Benth.,Desmodium flagellare,native,Grona flagellaris (Benth.) H.Ohashi & K.Ohashi,Grona flagellaris,native,(Benth.) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium gangeticum (L.) DC.,Desmodium gangeticum,native,Pleurolobus gangeticus (L.) J.St.-Hil.,Pleurolobus gangeticus,native,(L.) J.St.-Hil.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium glareosum Pedley,Desmodium glareosum,native,Grona glareosa (Pedley) H.Ohashi & K.Ohashi,Grona glareosa,native,(Pedley) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium hannii Schindl.,Desmodium hannii,native,Grona hannii (Schindl.) H.Ohashi & K.Ohashi,Grona hannii,native,(Schindl.) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium heterocarpon (L.) DC.,Desmodium heterocarpon,native,Grona heterocarpos (L.) H.Ohashi & K.Ohashi,Grona heterocarpos,native,(L.) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium heterocarpon (L.) DC. var. strigosum (Meeuwen) H.Ohashi,Desmodium heterocarpon var. strigosum,native,Grona heterocarpos var. strigosa (Meeuwen) H.Ohashi & K.Ohashi,Grona heterocarpos var. strigosa,native,(Meeuwen) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium muelleri Benth.,Desmodium muelleri,native,Grona muelleri (Benth.) H.Ohashi & K.Ohashi,Grona muelleri,native,(Benth.) H.Ohashi & K.Ohashi,basionym,Similar for the state flora and the APC,native,native,native
Desmodium pullenii Pedley,Desmodium pullenii,native,Grona pullenii (Pedley) H.Ohashi & K.Ohashi,Grona pullenii,native,(Pedley) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium pycnotrichum Pedley,Desmodium pycnotrichum,native,Grona pycnotricha (Pedley) H.Ohashi & K.Ohashi,Grona pycnotricha,native,(Pedley) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium rhytidophyllum F.Muell. ex Benth.,Desmodium rhytidophyllum,native,Desmodium rhytidophyllum F.Muell. ex Benth.,Desmodium rhytidophyllum,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Desmodium scorpiurus (Sw.) Desv.,Desmodium scorpiurus,introduced,Desmodium scorpiurus (Sw.) Desv. ex DC.,Desmodium scorpiurus,naturalised,(Sw.) Desv. ex DC.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Desmodium tiwiense Pedley,Desmodium tiwiense,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Desmodium tortuosum (Sw.) DC.,Desmodium tortuosum,introduced,Desmodium tortuosum (Sw.) DC.,Desmodium tortuosum,naturalised,(Sw.) DC.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
