State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Marsilea mutica,native,Marsilea mutica Mett.,Marsilea mutica,native,Mett.,accepted,Similar for the state flora and the APC,native,native,native
Matricaria discoidea,doubtfully naturalised,Matricaria discoidea DC.,Matricaria discoidea,NA,DC.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Matricaria recutita,formerly naturalised,Matricaria chamomilla L.,Matricaria chamomilla,formerly naturalised,L.,taxonomic synonym,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Medicago arabica,introduced,Medicago arabica (L.) Huds.,Medicago arabica,naturalised,(L.) Huds.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Medicago lupulina,introduced,Medicago lupulina L.,Medicago lupulina,NA,L.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Medicago minima,introduced,Medicago minima (L.) L. ex Bartal.,Medicago minima,naturalised,(L.) L. ex Bartal.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Medicago polymorpha,introduced,Medicago polymorpha L.,Medicago polymorpha,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Medicago sativa,introduced,Medicago sativa L.,Medicago sativa,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Medicago scutellata,doubtfully naturalised,Medicago scutellata (L.) Mill.,Medicago scutellata,doubtfully naturalised,(L.) Mill.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Medicago truncatula,formerly naturalised,Medicago truncatula Gaertn.,Medicago truncatula,formerly naturalised,Gaertn.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Melaleuca armillaris subsp. armillaris,introduced,Melaleuca armillaris (Sol. ex Gaertn.) Sm. subsp. armillaris,Melaleuca armillaris subsp. armillaris,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Melaleuca citrina,introduced,Callistemon citrinus (Curtis) Skeels,Callistemon citrinus,naturalised,(Curtis) Skeels,nomenclatural synonym,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Melaleuca decussata,doubtfully naturalised,Melaleuca decussata R.Br.,Melaleuca decussata,NA,R.Br.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Melaleuca pallida,native,Callistemon pallidus (Bonpl.) DC.,Callistemon pallidus,native,(Bonpl.) DC.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Melaleuca paludicola,native,Callistemon sieberi DC.,Callistemon sieberi,native,DC.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
