State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Acacia leprosa Sieber ex DC. var. leprosa,Acacia leprosa var. leprosa,native,Acacia leprosa Sieber ex DC. var. leprosa,Acacia leprosa var. leprosa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia leprosa var. graveolens Maslin & D.J.Murphy,Acacia leprosa var. graveolens,native,Acacia leprosa var. graveolens Maslin & D.J.Murphy,Acacia leprosa var. graveolens,native,Maslin & D.J.Murphy,accepted,Similar for the state flora and the APC,native,native,native
Acacia leprosa var. uninervia Maslin & D.J.Murphy,Acacia leprosa var. uninervia,native,Acacia leprosa var. uninervia Maslin & D.J.Murphy,Acacia leprosa var. uninervia,native,Maslin & D.J.Murphy,accepted,Similar for the state flora and the APC,native,native,native
Acacia leptoclada A.Cunn. ex Benth.,Acacia leptoclada,native,Acacia leptoclada A.Cunn. ex Benth.,Acacia leptoclada,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia leucoclada Tindale subsp. argentifolia Tindale,Acacia leucoclada subsp. argentifolia,native,Acacia leucoclada subsp. argentifolia Tindale,Acacia leucoclada subsp. argentifolia,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia leucoclada Tindale subsp. leucoclada,Acacia leucoclada subsp. leucoclada,native,Acacia leucoclada Tindale subsp. leucoclada,Acacia leucoclada subsp. leucoclada,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia leucolobia Sweet,Acacia leucolobia,native,Acacia leucolobia Sweet,Acacia leucolobia,native,Sweet,accepted,Similar for the state flora and the APC,native,native,native
Acacia ligulata A.Cunn. ex Benth.,Acacia ligulata,native,Acacia ligulata A.Cunn. ex Benth.,Acacia ligulata,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia linearifolia Maiden & Blakely,Acacia linearifolia,native,Acacia linearifolia A.Cunn. ex Maiden & Blakely,Acacia linearifolia,native,A.Cunn. ex Maiden & Blakely,accepted,Similar for the state flora and the APC,native,native,native
Acacia lineata A.Cunn. ex G.Don,Acacia lineata,native,Acacia lineata A.Cunn. ex G.Don,Acacia lineata,native,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,native,native,native
Acacia linifolia (Vent.) Willd.,Acacia linifolia,native,Acacia linifolia (Vent.) Willd.,Acacia linifolia,native,(Vent.) Willd.,accepted,Similar for the state flora and the APC,native,native,native
Acacia loderi Maiden,Acacia loderi,native,Acacia loderi Maiden,Acacia loderi,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia longifolia (Andrews) Willd. subsp. longifolia,Acacia longifolia subsp. longifolia,native,Acacia longifolia (Andrews) Willd. subsp. longifolia,Acacia longifolia subsp. longifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia longifolia subsp. sophorae (Labill.) Court,Acacia longifolia subsp. sophorae,native colonising,Acacia longifolia subsp. sophorae (Labill.) Court,Acacia longifolia subsp. sophorae,native,(Labill.) Court,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia longissima H.L.Wendl.,Acacia longissima,native,Acacia longissima H.L.Wendl.,Acacia longissima,native,H.L.Wendl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia lucasii Blakely,Acacia lucasii,native,Acacia lucasii Blakely,Acacia lucasii,native,Blakely,accepted,Similar for the state flora and the APC,native,native,native
"Acacia lunata Lodd., G.Lodd. & W.Lodd.",Acacia lunata,native,"Acacia lunata Lodd., G.Lodd. & W.Lodd.",Acacia lunata,native,"Lodd., G.Lodd. & W.Lodd.",accepted,Similar for the state flora and the APC,native,native,native
